COMID,Lat,Lon,Elev_m
63130,59.95633313400003,-65.02159112199996,0.0
63131,59.94029620900005,-70.39418779099998,0.0
63132,59.88171628500004,-70.70246304499994,0.0
63133,59.890730817000076,-70.58037134199998,0.0
63134,59.86767176300003,-77.23681504899997,0.0
63135,59.907739192000065,-70.21421966199995,0.0
63136,59.83184204200006,-71.13169669499996,0.0
63137,59.82042887500006,-71.27309095899994,0.0
63138,59.82919474500005,-70.89902034599999,0.0
63139,59.790416667000045,-136.56354166999995,0.0
63140,59.80703349100003,-136.52696796299995,0.0
63141,59.787514387000044,-65.09539962599996,0.0
63142,59.74929568400006,-77.22075176199996,0.0
63143,59.74288397200007,-135.88000881199997,0.0
63144,59.73309996200004,-135.78387722899998,0.0
63145,59.787418168000045,-70.81378193699999,0.0
63146,59.755951663000076,-64.52505320199998,0.0
63147,59.68475517400003,-69.82617237399995,0.0
63148,59.678076099000066,-64.74070054399994,0.0
63149,59.69360547500003,-77.43106804399997,0.0
63150,59.68304774400008,-69.70274741699996,0.0
63151,59.72838633200007,-65.24536457799996,0.0
63152,59.66537847400008,-64.69373499599993,0.0
63153,59.65140043000008,-64.57745613099996,0.0
63154,59.71897605100003,-136.41368534599997,0.0
63155,59.776625211000066,-70.34575264299997,0.0
63156,59.63254392700003,-136.37448520099997,0.0
63157,59.62416710400004,-71.00750002999996,0.0
63158,59.62085532800006,-71.08808916999993,0.0
63159,59.63800896200007,-135.99345332399997,0.0
63160,59.655988852000064,-135.889522393,0.0
63161,59.68603738300004,-70.23733336099997,0.0
63162,59.629625747000034,-64.63782783799996,0.0
63163,59.613132344000064,-70.96277477199999,0.0
63164,59.620722439000076,-76.90740877499996,0.0
63165,59.616202893000036,-69.89047915899994,0.0
63166,59.57071336200005,-70.16622935999999,0.0
63167,59.57382982000007,-77.31441843399995,0.0
63168,59.58604238300006,-71.07888152599998,0.0
63169,59.57086242200006,-69.79828919499994,0.0
63170,59.573425574000055,-136.01177548399994,0.0
63171,59.58205645100003,-136.16314243699998,0.0
63172,59.54199691100007,-71.16794235099997,0.0
63173,59.60352740400003,-65.32344643499994,0.0
63174,59.52721512000005,-77.58158263399997,0.0
63175,59.53429423700004,-70.12200379699993,0.0
63176,59.581280039000035,-135.35557431999996,0.0
63177,59.570804327000076,-75.69638255199999,0.0
63178,59.54277907300008,-75.57145222999998,0.0
63179,59.59136014200004,-70.34695877699994,0.0
63180,59.511335176000046,-135.24696678499998,0.0
63181,59.45395873500007,-75.84479169399998,0.0
63182,59.47408218800007,-75.74194338299998,0.0
63183,59.47558640200003,-136.41807474799998,0.0
63184,59.444555394000076,-136.384471675,0.0
63185,59.463383445000034,-70.38067148899995,0.0
63186,59.49107874600003,-76.78369861499993,0.0
63187,59.43884101700007,-76.36803075499995,0.0
63188,59.487908883000046,-71.11367395999997,0.0
63189,59.46750921900008,-77.53013254399997,0.0
63190,59.42621261900007,-75.81958552199995,0.0
63191,59.467263468000056,-135.99882124099997,0.0
63192,59.42291328400006,-136.14467908399996,0.0
63193,59.39874163200005,-135.90868410699994,0.0
63194,59.45398927500008,-70.27534491399996,0.0
63195,59.45172199800004,-77.34360572899999,0.0
63196,59.40002419500007,-77.19313177199996,0.0
63197,59.40935813300007,-64.97969741699995,0.0
63198,59.44781057900008,-76.24586398199995,0.0
63199,59.41447229000005,-76.12550193599998,0.0
63200,59.41420365000005,-76.32825113999996,0.0
63201,59.38734918600005,-76.23648515499997,0.0
63202,59.38583088400003,-64.28342444199995,0.0
63203,59.37419844400006,-75.78364142199996,0.0
63204,59.34368499400006,-75.72475425599998,0.0
63205,59.35644693200004,-64.65557495299998,0.0
63206,59.35284195300005,-64.85982209799994,0.0
63207,59.350386306000075,-76.70637975299996,0.0
63208,59.33567316300008,-76.58100668899993,0.0
63209,59.39307295100008,-135.48485516499994,0.0
63210,59.35525676900005,-77.13497335999995,0.0
63211,59.39006993400005,-135.639525575,0.0
63212,59.324804189000076,-76.83968060399997,0.0
63213,59.37637023500008,-75.47867798699997,0.0
63214,59.37497872100005,-75.15831930499996,0.0
63215,59.31860529900007,-76.96143253799994,0.0
63216,59.343170419000046,-76.12429978399996,0.0
63217,59.31743080900003,-75.88678859799995,0.0
63218,59.30730407200008,-77.75560421199998,0.0
63219,59.36193012700005,-74.81869226199996,0.0
63220,59.350867652000034,-74.72535788099998,0.0
63221,59.36511609400003,-70.05761495199994,0.0
63222,59.29768907500005,-69.86517466199996,0.0
63223,59.331494389000056,-135.783669488,0.0
63224,59.29600120200007,-75.14155886399999,0.0
63225,59.282357974000035,-75.06922458099996,0.0
63226,59.29969353600006,-77.05299861799995,0.0
63227,59.32069583900005,-132.56974685899996,0.0
63228,59.27249244900008,-135.15628760099997,0.0
63229,59.31974744200005,-136.14308410099994,0.0
63230,59.279691197000034,-65.22919355399995,0.0
63231,59.25380925700006,-132.29115530499996,0.0
63232,59.252850918000036,-132.46620718499997,0.0
63233,59.24386266800008,-134.86384381699997,0.0
63234,59.24969479300006,-135.81247706599999,0.0
63235,59.25601728200007,-135.110699711,0.0
63236,59.25464509600005,-135.595861943,0.0
63237,59.251555401000076,-75.00680618199993,0.0
63238,59.228233352000075,-135.02493324,0.0
63239,59.22688223400007,-134.94334884499995,0.0
63240,59.24152793500008,-74.82427032599998,0.0
63241,59.234350465000034,-63.92611632599994,0.0
63242,59.224882696000066,-134.92185492599998,0.0
63243,59.22161280600005,-135.05038395799994,0.0
63244,59.24441669700008,-135.22724275699994,0.0
63245,59.245919737000065,-75.91859901899994,0.0
63246,59.21260031700007,-132.82019831399998,0.0
63247,59.24133305300006,-132.71838218299996,0.0
63248,59.273228094000046,-102.15587739499995,0.0
63249,59.21397084000006,-102.11530885899998,0.0
63250,59.295610672000066,-65.15693342999998,0.0
63251,59.20273444400004,-74.97026187599994,0.0
63252,59.23120247000003,-69.67187362699997,0.0
63253,59.18280794200007,-77.94470591999999,0.0
63254,59.17221505400005,-75.11980372999994,0.0
63255,59.16399208200005,-75.05487164899995,0.0
63256,59.169200689000036,-75.00620962199997,0.0
63257,59.20529587200008,-134.76089930499995,0.0
63258,59.21289152000003,-70.23569837099996,0.0
63259,59.18956170200005,-64.03607547599995,0.0
63260,59.17140431200005,-132.84251959499994,0.0
63261,59.14443653700005,-102.63243652399996,0.0
63262,59.17362570800003,-64.15163902299997,0.0
63263,59.23557628200007,-76.76059445999994,0.0
63264,59.13153867900007,-132.89385451799996,0.0
63265,59.19607179600007,-70.05061674699994,0.0
63266,59.228551809000066,-76.23625517599999,0.0
63267,59.14911356500005,-77.47226891299994,0.0
63268,59.14857178700004,-77.79365951499994,0.0
63269,59.13908335100007,-75.00034795999994,0.0
63270,59.17947940400006,-132.318275622,0.0
63271,59.14175771600003,-77.89271380499997,0.0
63272,59.12216188600007,-77.20552394299995,0.0
63273,59.13814714600005,-77.14251712199996,0.0
63274,59.15736676300003,-75.23597991099996,0.0
63275,59.19417959100008,-133.13165238699997,0.0
63276,59.12375169200004,-132.96405474999995,0.0
63277,59.12829961800003,-74.79320749299995,0.0
63278,59.11511447200007,-136.75340629,0.0
63279,59.13640869500006,-136.75222555599998,0.0
63280,59.12003180000005,-132.79471591199996,0.0
63281,59.12186787200005,-102.67902416099997,0.0
63282,59.107795768000074,-101.79800051099994,0.0
63283,59.17081580300004,-65.22416576399996,0.0
63284,59.09880891100005,-136.382694491,0.0
63285,59.099190185000054,-137.13660041699995,0.0
63286,59.12309487500005,-137.10043414599994,0.0
63287,59.09223436900004,-137.09921605,0.0
