COMID,Lat,Lon,Elev_m
5000001,37.00261360800005,74.67114700100007,0.0
5000002,36.96935325900006,74.77776460500007,0.0
5000003,36.945864064000034,75.18269030100004,0.0
5000004,36.934495328000025,75.26450978200006,0.0
5000005,36.893985652000026,75.18338110100007,0.0
5000006,36.873550988000034,75.14861927500004,0.0
5000007,36.870545709000055,74.98457724600007,0.0
5000008,36.903788330000054,75.02667560900005,0.0
5000009,36.86257933500008,75.01360194900008,0.0
5000010,36.862447651000025,75.08258790300005,0.0
5000011,36.907267266000076,74.51500208800007,0.0
5000012,36.88005544600003,74.63681731800006,0.0
5000013,36.85227947100003,74.23156790100006,0.0
5000014,36.842800527000065,73.56717599300003,0.0
5000015,36.82943385900006,73.51320084800005,0.0
5000016,36.83525449200005,73.90883614600006,0.0
5000017,36.85480566600006,73.84323338100006,0.0
5000018,36.83098925100006,74.30232161700008,0.0
5000019,36.87895214900004,74.71459252200003,0.0
5000020,36.83302217800008,74.66689171800004,0.0
5000021,36.84435643300003,75.14985949000004,0.0
5000022,36.84534492300003,73.39893788600006,0.0
5000023,36.82293894000003,73.52743796900006,0.0
5000024,36.826069225000026,74.19232752900007,0.0
5000025,36.81907050700005,74.36355766800006,0.0
5000026,36.81650641700003,73.10698716600007,0.0
5000027,36.82051780200004,73.10883800700003,0.0
5000028,36.81667254400003,73.54058681300006,0.0
5000029,36.840688431000046,75.24440256500003,0.0
5000030,36.82555531600008,75.36165629500005,0.0
5000031,36.81218466000007,73.19912972300006,0.0
5000032,36.811058106000075,74.36020286100006,0.0
5000033,36.80931737000003,73.53919250700005,0.0
5000034,36.80732752700004,73.07477022200004,0.0
5000035,36.80782660700004,73.10946751600005,0.0
5000036,36.79291666600005,74.94000000000005,0.0
5000037,36.82830913400005,74.97266835300007,0.0
5000038,36.80725620800007,73.31367650000004,0.0
5000039,36.81035525400006,73.50436041600005,0.0
5000040,36.800140433000024,73.61079519600008,0.0
5000041,36.80135308100006,74.73963650700006,0.0
5000042,36.799636805000034,74.77595676000004,0.0
5000043,36.80805118300003,73.97372138900005,0.0
5000044,36.790988965000054,73.05248576300005,0.0
5000045,36.82093778400008,74.86481203700004,0.0
5000046,36.787731509000025,74.89583604600006,0.0
5000047,36.783854646000066,72.62685385000003,0.0
5000048,36.782131658000026,72.65359525700006,0.0
5000049,36.77820489800007,74.01744407200005,0.0
5000050,36.78990387400006,75.34419362400007,0.0
5000051,36.80190938100003,73.68705617400008,0.0
5000052,36.783968611000034,72.98489683800005,0.0
5000053,36.78070810300005,73.00704498700003,0.0
5000054,36.81343074400007,74.55156190300005,0.0
5000055,36.77172475900005,74.33731257400007,0.0
5000056,36.76328676400004,74.79639810200007,0.0
5000057,36.75835653200005,74.84650529900006,0.0
5000058,36.75820594900006,72.63451038100004,0.0
5000059,36.741780180000035,72.59444732400004,0.0
5000060,36.75078189200008,72.94695349200003,0.0
5000061,36.734811904000026,72.88975514700007,0.0
5000062,36.735102967000046,72.91269772800007,0.0
5000063,36.73341823700008,72.63280093200007,0.0
5000064,36.751087908000045,72.71785532300004,0.0
5000065,36.772070523000025,74.32425742700008,0.0
5000066,36.74160018500004,74.64072607900005,0.0
5000067,36.76154159200007,74.40299786400004,0.0
5000068,36.711509990000025,72.31536238700005,0.0
5000069,36.70998850900003,72.36446309700005,0.0
5000070,36.71215027000005,72.85905511900006,0.0
5000071,36.73976206700007,74.00823157200006,0.0
5000072,36.69487184600007,74.00724370200004,0.0
5000073,36.719403157000045,74.76394470600007,0.0
5000074,36.717340180000065,74.81679528100005,0.0
5000075,36.743415551000055,75.07024854900004,0.0
5000076,36.68944499500003,72.37529475100007,0.0
5000077,36.68953360200004,72.40092224800003,0.0
5000078,36.67993393200004,75.20878628700007,0.0
5000079,36.73788220100005,74.97590336400003,0.0
5000080,36.673086752000074,75.27169484000007,0.0
5000081,36.701345650000064,75.32053052000003,0.0
5000082,36.66793799900006,72.39283267800005,0.0
5000083,36.666521498000066,73.40664542300004,0.0
5000084,36.64725468800003,73.42651997300004,0.0
5000085,36.66672469900004,73.41846034200006,0.0
5000086,36.64567866700003,73.41837231900007,0.0
5000087,36.64283015800004,74.14897329000007,0.0
